productID,productName,productPrice,supplierID,supplierName,storeID,storeName
84,OnePlus Nord 2,49999,29,OnePlus Technology,1,Electro Mart
25,JBL Flip 5 Portable Bluetooth Speaker,9999,24,JBL,3,Sound Zone
86,LG UltraGear 27GN950B Gaming Monitor,149999,11,LG Electronics,4,Game Zone
48,Garmin Forerunner 945 GPS Smartwatch,59999,17,Garmin Ltd,7,Health Zone
62,Logitech MX Master 3 Wireless Mouse,9999,12,Logitech,2,Tech Haven
6,Xbox Series X,49999,6,Microsoft Corporation,4,Game Zone
17,Garmin Venu 2 Smartwatch,39999,17,Garmin Ltd,7,Health Zone
14,Bose QuietComfort 35 II Wireless Headphones,29999,14,Bose Corporation,3,Sound Zone
50,Jabra Elite 85t True Wireless Earbuds,22999,37,Jabra,3,Sound Zone
63,Google Pixel Buds ASeries,9999,22,Google LLC,3,Sound Zone
60,Canon EOS M50 Mark II Mirrorless Camera,64999,9,Canon Inc,6,Photo World
13,Samsung Galaxy Tab S7,64999,13,Samsung Electronics,2,Tech Haven
30,Samsung Galaxy Buds Pro,19999,13,Samsung Electronics,3,Sound Zone
3,Samsung QLED 4K Smart TV,149999,3,Samsung Electronics,1,Electro Mart
12,Logitech G Pro X Mechanical Gaming Keyboard,14999,12,Logitech,4,Game Zone
68,Garmin Instinct Solar Smartwatch,39999,17,Garmin Ltd,7,Health Zone
1,iPhone 13 Pro,109999,1,Apple Inc,1,Electro Mart
69,Samsung Odyssey G7 Gaming Monitor,69999,3,Samsung Electronics,4,Game Zone
42,Sony Xperia 1 III,129999,16,Sony Corporation,1,Electro Mart
74,Razer Naga X Gaming Mouse,7999,18,Razer Inc,4,Game Zone
67,GoPro HERO9 Black Action Camera,44999,26,GoPro Inc,6,Photo World
34,HP Spectre x360 Laptop,139999,30,HP Inc,2,Tech Haven
9,Canon EOS R5 Mirrorless Camera,349999,9,Canon Inc,6,Photo World
93,Alienware AW2521HFL Gaming Monitor,49999,8,Alienware Dell,4,Game Zone
33,OnePlus 9 Pro,89999,29,OnePlus Technology,1,Electro Mart
38,Canon EOS RP Mirrorless Camera,129999,9,Canon Inc,6,Photo World
18,Razer Blade 15 Gaming Laptop,179999,18,Razer Inc,5,InnoTech
55,Sonos Roam Portable Bluetooth Speaker,16999,39,Sonos Inc,3,Sound Zone
